        1/T2        1/2 (NO EC)         3/2             5/2             7/2             9/2            11/2
   
   1.0000000e-08   6.6666669e-09   2.2766251e-15   5.2630425e-16   1.5445111e-15   7.5405624e-16   8.5224601e-14
   2.6366509e-08   1.7577673e-08   3.3510174e-15   3.7302107e-16   1.3477236e-15   8.6354791e-16   5.8796534e-13
   6.9519280e-08   4.6346184e-08   2.7039864e-15   1.7605957e-15   2.0550415e-15   1.1735120e-15   4.0733830e-12
   1.8329807e-07   1.2219870e-07   3.7681151e-15   3.0202434e-15   1.4991722e-15   2.6458876e-15   2.8280055e-11
   4.8329302e-07   3.2219523e-07   3.4548818e-15   5.0778937e-15   4.1921904e-15   2.2955492e-14   1.9649874e-10
   1.2742750e-06   8.4951582e-07   3.5751134e-15   1.3836237e-14   9.5391510e-15   3.7426060e-13   1.3656051e-09
   3.3598183e-06   2.2398731e-06   7.0700905e-15   3.1278182e-14   2.4752000e-14   6.7127305e-12   9.4893783e-09
   8.8586679e-06   5.9057383e-06   2.3420701e-14   7.8031637e-14   1.0817339e-13   1.2250959e-10   6.5902458e-08
   2.3357215e-05   1.5571196e-05   7.5005235e-14   2.0679564e-13   5.7611009e-12   2.2279412e-09   4.5695036e-07
   6.1584821e-05   4.1054600e-05   4.4582263e-13   1.2706735e-12   3.0721209e-10   3.9970237e-08   3.1549298e-06
   1.6237767e-04   1.0823824e-04   4.9959967e-12   1.0035417e-10   1.3988570e-08   6.9247039e-07   2.1541238e-05
   4.2813324e-04   2.8532806e-04   1.3920882e-10   8.9567449e-09   5.2179932e-07   1.0996662e-05   1.4289955e-04
   1.1288379e-03   7.5190466e-04   6.4045346e-09   4.4565617e-07   1.3454962e-05   1.4290291e-04   8.8183850e-04
   2.9763514e-03   1.9796930e-03   1.8266465e-07   9.8158990e-06   1.9063983e-04   1.2643600e-03   4.6017888e-03
   7.8475997e-03   5.2002490e-03   2.3607775e-06   9.4809861e-05   1.3516036e-03   6.4859873e-03   1.7360370e-02
   2.0691381e-02   1.3576960e-02   1.5917564e-05   4.8880787e-04   5.2275244e-03   1.8723476e-02   4.1532919e-02
   5.4555948e-02   3.4888424e-02   7.1149093e-05   1.7839462e-03   1.2751833e-02   3.5583545e-02   6.4261866e-02
   1.4384499e-01   8.6085899e-02   2.7251437e-04   5.0739056e-03   2.2460348e-02   5.4335858e-02   7.8067735e-02
   3.7926902e-01   1.9252898e-01   1.0357480e-03   1.0318864e-02   3.2395931e-02   7.0990651e-02   8.9111725e-02
   1.0000000e+00   3.5087963e-01   3.3482256e-03   1.5108984e-02   4.5569867e-02   8.2716509e-02   9.7364449e-02
