       1/T2          2 (NO EC)          4               6               8               10             12
   
   1.0000000e-08   6.6666669e-09   1.3044665e-15   3.2701198e-15   2.7864458e-15   4.5883092e-15   1.3917187e-13
   2.6366509e-08   1.7577673e-08   2.8549860e-15   2.7365646e-15   2.4067223e-15   1.3535055e-14   9.5362901e-13
   6.9519280e-08   4.6346184e-08   2.4235858e-15   2.5617117e-15   2.8870753e-15   3.4539297e-14   6.5926282e-12
   1.8329807e-07   1.2219870e-07   1.6417109e-15   2.9122994e-15   6.6756891e-15   8.9675670e-14   4.5735690e-11
   4.8329302e-07   3.2219523e-07   3.5333721e-15   8.1551762e-15   1.6841710e-14   2.2185261e-13   3.1768473e-10
   1.2742750e-06   8.4951582e-07   1.1335352e-14   2.0402774e-14   4.1350485e-14   4.9590107e-13   2.2074510e-09
   3.3598183e-06   2.2398731e-06   2.9470642e-14   5.7475121e-14   8.4589288e-14   9.4562374e-13   1.5336629e-08
   8.8586679e-06   5.9057383e-06   7.5047998e-14   1.4369970e-13   1.3049705e-12   1.0765428e-11   1.0647360e-07
   2.3357215e-05   1.5571196e-05   2.0219321e-13   2.9895375e-13   2.9428284e-11   2.3826345e-10   7.3760770e-07
   6.1584821e-05   4.1054600e-05   6.5647263e-13   7.8326865e-12   5.7211327e-10   4.8275354e-09   5.0809090e-06
   1.6237767e-04   1.0823824e-04   3.4463795e-11   2.8784616e-10   1.0534641e-08   8.9870170e-08   3.4481451e-05
   4.2813324e-04   2.8532806e-04   1.6593675e-09   1.1469090e-08   1.8565062e-07   1.5504806e-06   2.2514909e-04
   1.1288379e-03   7.5190466e-04   7.3219827e-08   4.3487604e-07   3.0244793e-06   2.3470182e-05   1.3345515e-03
   2.9763514e-03   1.9796930e-03   2.7784428e-06   1.2921090e-05   4.1573199e-05   2.6957582e-04   6.3405632e-03
   7.8475997e-03   5.2002490e-03   7.5546731e-05   2.2870972e-04   4.1260301e-04   1.8780350e-03   2.0226910e-02
   2.0691381e-02   1.3576960e-02   1.1118804e-03   1.9362931e-03   2.5182952e-03   6.9440844e-03   4.0338135e-02
   5.4555948e-02   3.4888424e-02   7.1563717e-03   8.1695753e-03   9.1970140e-03   1.5640085e-02   5.8228402e-02
   1.4384499e-01   8.6085899e-02   2.1471881e-02   2.1243711e-02   2.2126971e-02   2.5466082e-02   7.3340374e-02
   3.7926902e-01   1.9252898e-01   4.1828226e-02   3.9284462e-02   4.0832056e-02   3.5891263e-02   8.4540369e-02
   1.0000000e+00   3.5087963e-01   6.3029142e-02   5.6518749e-02   6.0592813e-02   5.1935250e-02   9.3889750e-02
