        1/T2         2 (NO EC)        1-meas          2-meas          4-meas        4lv - ideal

   1.0000000e-08   3.3333332e-08   6.1671173e-10   6.3333165e-12   3.9172894e-13   1.8986728e-13
   2.6366509e-08   8.7888354e-08   1.6268508e-09   1.7409144e-11   1.6521456e-12   1.3050248e-12
   6.9519280e-08   2.3173086e-07   4.2949853e-09   5.0845778e-11   8.6666237e-12   9.0383964e-12
   1.8329807e-07   6.1099309e-07   1.1362938e-08   1.6842618e-10   5.2811547e-11   6.2737924e-11
   4.8329302e-07   1.6109734e-06   3.0228141e-08   6.8294660e-10   3.4751118e-10   4.3586359e-10
   1.2742750e-06   4.2475602e-06   8.1563810e-08   3.4606952e-09   2.3637024e-09   3.0286905e-09
   3.3598183e-06   1.1199234e-05   2.2799335e-07   2.0654477e-08   1.6287311e-08   2.1039770e-08
   8.8586679e-06   2.9527780e-05   6.9086929e-07   1.3442292e-07   1.1270991e-07   1.4601066e-07
   2.3357215e-05   7.7849642e-05   2.4414766e-06   9.0686137e-07   7.7969991e-07   1.0104483e-06
   6.1584821e-05   2.0522893e-04   1.0676136e-05   6.1687648e-06   5.3651496e-06   6.9412640e-06
   1.6237767e-04   5.4088499e-04   5.6364633e-05   4.1414374e-05   3.6345892e-05   4.6774158e-05
   4.2813324e-04   1.4245134e-03   3.2371450e-04   2.6535676e-04   2.3631966e-04   3.0006676e-04
   1.1288379e-03   3.7447746e-03   1.7613468e-03   1.5114760e-03   1.3859728e-03   1.7082103e-03
   2.9763514e-03   9.7966088e-03   7.6248561e-03   6.6935347e-03   6.4233610e-03   7.5248258e-03
   7.8475997e-03   2.5305340e-02   2.1820047e-02   1.9690965e-02   1.9564987e-02   2.1675007e-02
   2.0691381e-02   6.3261117e-02   3.9055524e-02   3.7067223e-02   3.7097596e-02   3.8909608e-02
   5.4555948e-02   1.4581869e-01   5.3551882e-02   5.3010804e-02   5.3032862e-02   5.3478491e-02
   1.4384499e-01   2.8057203e-01   6.7000096e-02   6.6969823e-02   6.6971098e-02   6.6991211e-02
   3.7926902e-01   4.0199980e-01   7.5108447e-02   7.5108327e-02   7.5108330e-02   7.5108383e-02
   1.0000000e+00   4.5717809e-01   7.9698432e-02   7.9698432e-02   7.9698432e-02   7.9698432e-02
