       1/T2         2 (NO EC)        1-meas          2-meas          4-meas        6lv - ideal

   1.0000000e-08   3.3333332e-08   1.9983062e-11   1.0307029e-13   1.1095673e-14   3.1707174e-15
   2.6366509e-08   8.7888354e-08   5.2689114e-11   2.7265229e-13   3.0149664e-14   9.2649559e-15
   6.9519280e-08   2.3173086e-07   1.3892132e-10   7.1847027e-13   7.9103300e-14   2.3982490e-14
   1.8329807e-07   6.1099309e-07   3.6627720e-10   1.8916733e-12   2.0595456e-13   6.0613244e-14
   4.8329302e-07   1.6109734e-06   9.6567958e-10   4.9716175e-12   5.2729700e-13   1.4430264e-13
   1.2742750e-06   4.2475602e-06   2.5457523e-09   1.3040066e-11   1.3192206e-12   3.2067099e-13
   3.3598183e-06   1.1199234e-05   6.7100599e-09   3.4460057e-11   3.4423208e-12   1.0645413e-12
   8.8586679e-06   2.9527780e-05   1.7688533e-08   1.0168157e-10   1.7371279e-11   1.6100642e-11
   2.3357215e-05   7.7849642e-05   4.6827065e-08   5.3008033e-10   2.5876747e-10   3.4862863e-10
   6.1584821e-05   2.0522893e-04   1.2860632e-07   6.5756553e-09   4.9600115e-09   6.8849743e-09
   1.6237767e-04   5.4088499e-04   4.4124916e-07   1.1176900e-07   9.1767472e-08   1.2619285e-07
   4.2813324e-04   1.4245134e-03   2.9271557e-06   1.8861674e-06   1.5827516e-06   2.1390821e-06
   1.1288379e-03   3.7447746e-03   3.3130819e-05   2.7992558e-05   2.3976852e-05   3.1354988e-05
   2.9763514e-03   9.7966088e-03   3.4344822e-04   3.1203018e-04   2.7591003e-04   3.4048512e-04
   7.8475997e-03   2.5305340e-02   2.2089422e-03   2.0912625e-03   1.9260232e-03   2.2063280e-03
   2.0691381e-02   6.3261117e-02   7.5484919e-03   7.3462844e-03   7.0354023e-03   7.5466691e-03
   5.4555948e-02   1.4581869e-01   1.5824271e-02   1.5592433e-02   1.5349294e-02   1.5820514e-02
   1.4384499e-01   2.8057203e-01   2.5059781e-02   2.4857576e-02   2.4814008e-02   2.5051159e-02
   3.7926902e-01   4.0199980e-01   3.4682574e-02   3.4603613e-02   3.4611231e-02   3.4674276e-02
   1.0000000e+00   4.5717809e-01   4.9012980e-02   4.9000312e-02   4.9001892e-02   4.9010011e-02
